Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;ИАСОЮЗ-1А;;;;;90;;;0;0;0
04.08.2020;РоснфтБО18;;;;;100,06;;;0;0;0
04.08.2020;РоснфтБО26;;;;;;;;0;0;0
04.08.2020;РоснфтБО19;;;;;100,06;;;0;0;0
04.08.2020;РоснфтБО25;;;;;100;;;0;0;0
04.08.2020;РоснфтБО20;;;;;100,06;;;0;0;0
04.08.2020;РоснфтБО23;;;;;98;;;0;0;0
04.08.2020;РоснфтБО22;;;;;98;;;0;0;0
04.08.2020;РоснфтБО21;;;;;102,06;;;0;0;0
04.08.2020;ГПБ 1-ИП-А;;;;;90;;;0;0;0
04.08.2020;ГПБ 1-ИП-Б;;;;;90;;;0;0;0
04.08.2020;RUS-28;;;;;167,902;177,9789;173,4041;0;0;0
04.08.2020;RUS-30;114,5;114;114;114,5;110,5001;120;115,7002;2000;49988,83;2
04.08.2020;RUS-22;;;;;;;105,25;0;0;0
04.08.2020;RUS-42;;;;;;;;0;0;0
